Distance_to_Outlet_m,Channel_Width
16649.16,1.61785503671629e-05
16709.16,1.61785503671629e-05
16769.16,1.61785503671629e-05
16829.16,1.61785503671629e-05
16889.15,1.9773783782088e-05
16949.15,1.9773783782088e-05
17009.15,1.9773783782088e-05
17069.14,1.9773783782088e-05
17129.14,1.61785503671629e-05
17189.14,1.61785503671629e-05
17249.14,1.79761670746254e-05
17309.13,1.61785503671629e-05
17369.13,1.9773783782088e-05
17429.12,1.79761670746254e-05
17489.12,1.9773783782088e-05
17549.12,1.9773783782088e-05
17609.12,1.79761670746254e-05
17669.11,1.9773783782088e-05
17729.11,1.79761670746254e-05
17789.11,1.79761670746254e-05
17849.11,1.9773783782088e-05
17909.1,1.61785503671629e-05
17969.1,1.9773783782088e-05
18029.1,1.9773783782088e-05
18089.09,1.9773783782088e-05
18149.09,1.79761670746254e-05
18209.09,1.61785503671629e-05
18269.08,1.61785503671629e-05
18329.08,1.79761670746254e-05
18389.08,1.9773783782088e-05
18449.07,1.43809336597003e-05
18509.07,1.79761670746254e-05
18569.07,1.9773783782088e-05
18629.07,1.9773783782088e-05
18689.06,1.61785503671629e-05
18749.06,1.61785503671629e-05
18809.06,1.61785503671629e-05
18869.05,1.9773783782088e-05
18929.05,1.79761670746254e-05
18989.05,1.79761670746254e-05
19049.04,1.61785503671629e-05
19109.04,1.61785503671629e-05
19169.04,1.79761670746254e-05
19229.04,1.79761670746254e-05
19289.03,1.79761670746254e-05
19349.03,8.98808353731271e-06
19409.03,8.98808353731271e-06
19469.02,8.98808353731271e-06
19529.02,1.07857002447753e-05
19589.02,8.98808353731271e-06
19649.02,1.07857002447753e-05
19709.01,8.98808353731271e-06
19769.01,8.98808353731271e-06
19829.01,8.98808353731271e-06
19889,1.07857002447753e-05
19949,7.19046682985017e-06
20009,8.98808353731271e-06
20068.99,8.98808353731271e-06
20128.99,8.98808353731271e-06
20188.99,1.07857002447753e-05
20248.98,8.98808353731271e-06
20308.98,8.98808353731271e-06
20368.98,8.98808353731271e-06
20428.98,1.07857002447753e-05
20488.97,8.98808353731271e-06
20548.97,7.19046682985017e-06
20608.97,8.98808353731271e-06
20668.96,8.98808353731271e-06
20728.96,8.98808353731271e-06
20788.96,1.07857002447753e-05
20848.96,8.98808353731271e-06
20908.95,8.98808353731271e-06
20968.95,8.98808353731271e-06
21028.95,8.98808353731271e-06
21088.94,8.98808353731271e-06
21148.94,8.98808353731271e-06
21208.94,8.98808353731271e-06
21268.93,1.79761670746254e-05
21328.93,1.79761670746254e-05
21388.93,1.79761670746254e-05
21448.93,1.79761670746254e-05
21508.92,1.79761670746254e-05
21568.92,1.61785503671629e-05
21628.92,1.79761670746254e-05
21688.91,1.79761670746254e-05
21748.91,1.9773783782088e-05
21808.91,1.79761670746254e-05
21868.9,1.9773783782088e-05
